#eps09LO26.dat 1.1
-0.03046 -0.1007 0.0757 -0.0161 
-0.02181 -0.09283 0.06751 -0.01402 
-0.01221 -0.07674 0.05537 -0.01169 
0.01521 -0.07867 0.05121 -0.01035 
0.05018 -0.07168 0.03961 -0.007505 
0.03048 0.03595 -0.02545 0.003479 
0.1024 -0.02428 -0.01978 0.009463 
0.1592 -0.1886 0.119 -0.0262 
-0.01507 0.2366 -0.2028 0.04933 
0.04559 0.03624 -0.03875 0.009329 
0.06742 -0.04783 0.02174 -0.003461 
-0.0239 0.1386 -0.1124 0.02699 
-0.0837 0.2337 -0.1783 0.04267 
-0.05054 0.06959 -0.03324 0.005448 
-0.09409 0.1126 -0.05506 0.009423 
-0.136 0.1494 -0.07214 0.01237 
-0.1827 0.1986 -0.09928 0.01782 
-0.2218 0.2306 -0.1136 0.02028 
-0.2536 0.2491 -0.1192 0.0209 
-0.2963 0.2963 -0.146 0.02646 
-0.3127 0.283 -0.1279 0.02156 
-0.3419 0.3111 -0.1415 0.02386 
-0.3673 0.3405 -0.1593 0.02769 
-0.3802 0.3506 -0.1646 0.02885 
-0.399 0.3826 -0.1849 0.03303 
-0.3832 0.3524 -0.1642 0.02844 
-0.3306 0.2887 -0.1285 0.02151 
-0.2037 0.1649 -0.07033 0.01184 
0.1239 -0.226 0.159 -0.03504 
0.8373 -0.9275 0.5252 -0.1043 
2.806 -2.788 1.485 -0.2799 
6.899 -6.655 3.494 -0.6457 
13.99 -13.38 7.01 -1.286 

-0.04819 -0.108 0.08252 -0.01738 
-0.04819 -0.108 0.08252 -0.01738 
-0.04819 -0.108 0.08252 -0.01738 
-0.04753 -0.1108 0.08572 -0.01835 
-0.04753 -0.1108 0.08572 -0.01835 
-0.05072 -0.1013 0.07732 -0.01609 
-0.05507 -0.09002 0.06941 -0.01443 
-0.05507 -0.09002 0.06941 -0.01443 
-0.05507 -0.09002 0.06941 -0.01443 
-0.0528 -0.09627 0.07435 -0.0156 
-0.0573 -0.08481 0.06629 -0.01388 
-0.05642 -0.08776 0.06895 -0.01451 
-0.04743 -0.1052 0.08044 -0.01699 
-0.04792 -0.1054 0.08189 -0.01752 
-0.04086 -0.1187 0.09101 -0.01949 
-0.04897 -0.08935 0.06672 -0.01349 
-0.04649 -0.0908 0.07006 -0.01487 
-0.04287 -0.08908 0.06909 -0.01482 
-0.03168 -0.09343 0.06874 -0.01429 
-0.02731 -0.0743 0.05244 -0.01048 
-0.005252 -0.0887 0.06232 -0.01299 
0.0114 -0.06897 0.0444 -0.008817 
